Difficulty,Config,Time_median,Time_mean,Time_std,Time_min,Time_max,Cost_mean,Agg_Speedup,Agg_Efficiency,Speedup_mean,Efficiency_mean,Nodes_median,Nodes_mean
Easy,Serial,0.000553,0.009997,0.046478,0.000021,0.357492,0.009997,1.000000,1.000000,1.000000,1.000000,1104.500000,19799.134146
Easy,Serial-MRV,0.000772,0.000849,0.000459,0.000392,0.003406,0.000849,,,,,53.000000,56.060976
Easy,BranchBound,0.000470,0.008604,0.038927,0.000019,0.290752,0.008604,,,,,1104.500000,19799.134146
Easy,BranchBoundMRV,0.001036,0.001202,0.000820,0.000461,0.006109,0.001202,1.000000,1.000000,1.000000,1.000000,53.000000,56.060976
Easy,OpenMP-4,0.000809,0.001018,0.000794,0.000437,0.005035,0.004074,9.815472,2.453868,9.215822,2.303955,53.000000,59.121951
Easy,OpenMP-8,0.001215,0.003126,0.004610,0.000513,0.023169,0.025004,3.198408,0.399801,7.666295,0.958287,53.000000,58.573171
Easy,OpenMP-16,0.018363,0.019265,0.008210,0.003883,0.039251,0.308240,0.518906,0.032432,0.592491,0.037031,53.000000,59.646341
Easy,OMP-BBMRV-4,0.001080,0.001217,0.000707,0.000527,0.004611,0.004868,0.987356,0.246839,1.014219,0.253555,53.000000,59.402439
Easy,OMP-BBMRV-8,0.001472,0.003190,0.003843,0.000573,0.016874,0.025523,0.376641,0.047080,0.693511,0.086689,53.000000,58.548780
Easy,OMP-BBMRV-16,0.018704,0.019729,0.009260,0.005499,0.049561,0.315665,0.060907,0.003807,0.080005,0.005000,53.000000,60.853659
Medium,Serial,0.004821,0.011825,0.022024,0.000186,0.175113,0.011825,1.000000,1.000000,1.000000,1.000000,9617.000000,23647.970000
Medium,Serial-MRV,0.005606,0.006251,0.002936,0.002640,0.016210,0.006251,,,,,329.000000,380.050000
Medium,BranchBound,0.004170,0.010267,0.019360,0.000181,0.154397,0.010267,,,,,9617.000000,23647.970000
Medium,BranchBoundMRV,0.007203,0.008173,0.003905,0.003700,0.022235,0.008173,1.000000,1.000000,1.000000,1.000000,329.000000,380.050000
Medium,OpenMP-4,0.003332,0.003651,0.002234,0.000766,0.010411,0.014605,3.238735,0.809684,5.442848,1.360712,291.000000,359.250000
Medium,OpenMP-8,0.004223,0.004709,0.002906,0.000848,0.013949,0.037670,2.511265,0.313908,3.919755,0.489969,291.000000,362.860000
Medium,OpenMP-16,0.029539,0.030233,0.012418,0.010581,0.079343,0.483727,0.391132,0.024446,0.521066,0.032567,319.000000,361.280000
Medium,OMP-BBMRV-4,0.004375,0.004875,0.002874,0.001045,0.013296,0.019502,1.676401,0.419100,2.412480,0.603120,303.500000,366.280000
Medium,OMP-BBMRV-8,0.005463,0.006319,0.004154,0.001128,0.021171,0.050551,1.293467,0.161683,1.883821,0.235478,321.500000,359.520000
Medium,OMP-BBMRV-16,0.033041,0.034380,0.012387,0.010230,0.071651,0.550084,0.237732,0.014858,0.280844,0.017553,292.500000,362.010000
Hard,Serial,0.010666,0.037791,0.180383,0.000941,1.810621,0.037791,1.000000,1.000000,1.000000,1.000000,21882.500000,75282.950000
Hard,Serial-MRV,0.020969,0.026280,0.014794,0.014130,0.107957,0.026280,,,,,1284.500000,1618.140000
Hard,BranchBound,0.009114,0.033969,0.170888,0.000833,1.715747,0.033969,,,,,21882.500000,75282.950000
Hard,BranchBoundMRV,0.028023,0.034935,0.019511,0.018701,0.142576,0.034935,1.000000,1.000000,1.000000,1.000000,1284.500000,1618.140000
Hard,OpenMP-4,0.005091,0.007912,0.007868,0.000782,0.037054,0.031648,4.776466,1.194116,22.831406,5.707851,840.000000,1040.200000
Hard,OpenMP-8,0.007847,0.011657,0.010948,0.000844,0.054395,0.093256,3.241945,0.405243,6.270093,0.783762,908.500000,1110.770000
Hard,OpenMP-16,0.037699,0.042219,0.021863,0.008580,0.145609,0.675512,0.895117,0.055945,2.138460,0.133654,963.500000,1111.270000
Hard,OMP-BBMRV-4,0.006917,0.010564,0.010397,0.001047,0.049209,0.042255,3.307040,0.826760,7.184752,1.796188,849.500000,1074.980000
Hard,OMP-BBMRV-8,0.009893,0.015260,0.015333,0.001274,0.071575,0.122083,2.289248,0.286156,5.114754,0.639344,859.000000,1110.120000
Hard,OMP-BBMRV-16,0.044523,0.052692,0.032540,0.012961,0.182111,0.843072,0.662997,0.041437,0.850209,0.053138,1008.000000,1121.540000
Extreme,Serial,0.046220,0.119463,0.274828,0.001591,2.388701,0.119463,1.000000,1.000000,1.000000,1.000000,95798.000000,242345.240000
Extreme,Serial-MRV,0.102800,0.119689,0.046099,0.071536,0.286189,0.119689,,,,,6314.500000,7472.040000
Extreme,BranchBound,0.040648,0.105911,0.253306,0.001302,2.241786,0.105911,,,,,95798.000000,242345.240000
Extreme,BranchBoundMRV,0.134859,0.156378,0.060471,0.091003,0.353923,0.156378,1.000000,1.000000,1.000000,1.000000,6314.500000,7472.040000
Extreme,OpenMP-4,0.014252,0.024232,0.027805,0.000899,0.153412,0.096928,4.929965,1.232491,10.197815,2.549454,2926.000000,3964.220000
Extreme,OpenMP-8,0.018566,0.033992,0.040562,0.001030,0.223996,0.271934,3.514478,0.439310,7.738399,0.967300,3792.000000,4560.150000
Extreme,OpenMP-16,0.060055,0.089497,0.082504,0.014212,0.527992,1.431953,1.334829,0.083427,1.587376,0.099211,3747.000000,4578.160000
Extreme,OMP-BBMRV-4,0.019861,0.036493,0.045496,0.001391,0.322613,0.145971,4.285189,1.071297,15.896346,3.974087,3295.000000,4505.170000
Extreme,OMP-BBMRV-8,0.028027,0.044429,0.050879,0.001872,0.282716,0.355434,3.519716,0.439965,12.433698,1.554212,3536.000000,4531.080000
Extreme,OMP-BBMRV-16,0.086841,0.116962,0.103984,0.016120,0.568624,1.871399,1.336995,0.083562,2.344066,0.146504,3788.500000,4619.830000
