Board_ID,Difficulty,Algorithm,Threads,Rep,Time_s,Correct
easy_001,Easy,Serial,1,1,0.003644584,1
easy_001,Easy,Serial,1,2,0.003531958,1
easy_001,Easy,Serial,1,3,0.003410958,1
easy_001,Easy,Serial,1,4,0.003186958,1
easy_001,Easy,Serial,1,5,0.003290292,1
easy_001,Easy,Serial-MRV,1,1,0.000751625,1
easy_001,Easy,Serial-MRV,1,2,0.000750750,1
easy_001,Easy,Serial-MRV,1,3,0.000751042,1
easy_001,Easy,Serial-MRV,1,4,0.000736250,1
easy_001,Easy,Serial-MRV,1,5,0.000726208,1
easy_001,Easy,BranchBound,1,1,0.002466042,1
easy_001,Easy,BranchBound,1,2,0.002479541,1
easy_001,Easy,BranchBound,1,3,0.002447333,1
easy_001,Easy,BranchBound,1,4,0.002417500,1
easy_001,Easy,BranchBound,1,5,0.004999500,1
easy_001,Easy,BranchBoundMRV,1,1,0.001070791,1
easy_001,Easy,BranchBoundMRV,1,2,0.002396500,1
easy_001,Easy,BranchBoundMRV,1,3,0.002605583,1
easy_001,Easy,BranchBoundMRV,1,4,0.001088833,1
easy_001,Easy,BranchBoundMRV,1,5,0.001066291,1
easy_001,Easy,OpenMP,4,1,0.001776934,1
easy_001,Easy,OpenMP,4,2,0.000716925,1
easy_001,Easy,OpenMP,4,3,0.001542807,1
easy_001,Easy,OpenMP,4,4,0.000715971,1
easy_001,Easy,OpenMP,4,5,0.000754833,1
easy_001,Easy,OpenMP,8,1,0.000860929,1
easy_001,Easy,OpenMP,8,2,0.002567053,1
easy_001,Easy,OpenMP,8,3,0.010231018,1
easy_001,Easy,OpenMP,8,4,0.000788927,1
easy_001,Easy,OpenMP,8,5,0.001821041,1
easy_001,Easy,OpenMP,16,1,0.018912077,1
easy_001,Easy,OpenMP,16,2,0.030061007,1
easy_001,Easy,OpenMP,16,3,0.018771172,1
easy_001,Easy,OpenMP,16,4,0.017065048,1
easy_001,Easy,OpenMP,16,5,0.018430948,1
easy_001,Easy,OMP-BranchBoundMRV,4,1,0.001156092,1
easy_001,Easy,OMP-BranchBoundMRV,4,2,0.001102924,1
easy_001,Easy,OMP-BranchBoundMRV,4,3,0.001128197,1
easy_001,Easy,OMP-BranchBoundMRV,4,4,0.001085043,1
easy_001,Easy,OMP-BranchBoundMRV,4,5,0.001090050,1
easy_001,Easy,OMP-BranchBoundMRV,8,1,0.001109123,1
easy_001,Easy,OMP-BranchBoundMRV,8,2,0.002320051,1
easy_001,Easy,OMP-BranchBoundMRV,8,3,0.001077890,1
easy_001,Easy,OMP-BranchBoundMRV,8,4,0.001357794,1
easy_001,Easy,OMP-BranchBoundMRV,8,5,0.001086950,1
easy_001,Easy,OMP-BranchBoundMRV,16,1,0.018167019,1
easy_001,Easy,OMP-BranchBoundMRV,16,2,0.012301922,1
easy_001,Easy,OMP-BranchBoundMRV,16,3,0.009462118,1
easy_001,Easy,OMP-BranchBoundMRV,16,4,0.010630846,1
easy_001,Easy,OMP-BranchBoundMRV,16,5,0.037670851,1
easy_002,Easy,Serial,1,1,0.001748625,1
easy_002,Easy,Serial,1,2,0.001625709,1
easy_002,Easy,Serial,1,3,0.001662583,1
easy_002,Easy,Serial,1,4,0.001751083,1
easy_002,Easy,Serial,1,5,0.001653542,1
easy_002,Easy,Serial-MRV,1,1,0.000724791,1
easy_002,Easy,Serial-MRV,1,2,0.000824041,1
easy_002,Easy,Serial-MRV,1,3,0.000693750,1
easy_002,Easy,Serial-MRV,1,4,0.000770542,1
easy_002,Easy,Serial-MRV,1,5,0.000798792,1
easy_002,Easy,BranchBound,1,1,0.001476916,1
easy_002,Easy,BranchBound,1,2,0.001442542,1
easy_002,Easy,BranchBound,1,3,0.001428458,1
easy_002,Easy,BranchBound,1,4,0.001460834,1
easy_002,Easy,BranchBound,1,5,0.001385209,1
easy_002,Easy,BranchBoundMRV,1,1,0.001067208,1
easy_002,Easy,BranchBoundMRV,1,2,0.001056000,1
easy_002,Easy,BranchBoundMRV,1,3,0.000974666,1
easy_002,Easy,BranchBoundMRV,1,4,0.000976709,1
easy_002,Easy,BranchBoundMRV,1,5,0.001008042,1
easy_002,Easy,OpenMP,4,1,0.000896931,1
easy_002,Easy,OpenMP,4,2,0.000808954,1
easy_002,Easy,OpenMP,4,3,0.000777960,1
easy_002,Easy,OpenMP,4,4,0.000878096,1
easy_002,Easy,OpenMP,4,5,0.000771999,1
easy_002,Easy,OpenMP,8,1,0.001378059,1
easy_002,Easy,OpenMP,8,2,0.001729012,1
easy_002,Easy,OpenMP,8,3,0.001702070,1
easy_002,Easy,OpenMP,8,4,0.000767946,1
easy_002,Easy,OpenMP,8,5,0.000767946,1
easy_002,Easy,OpenMP,16,1,0.037086010,1
easy_002,Easy,OpenMP,16,2,0.024134874,1
easy_002,Easy,OpenMP,16,3,0.025505066,1
easy_002,Easy,OpenMP,16,4,0.024842978,1
easy_002,Easy,OpenMP,16,5,0.015707016,1
easy_002,Easy,OMP-BranchBoundMRV,4,1,0.001061916,1
easy_002,Easy,OMP-BranchBoundMRV,4,2,0.001039028,1
easy_002,Easy,OMP-BranchBoundMRV,4,3,0.001023054,1
easy_002,Easy,OMP-BranchBoundMRV,4,4,0.001016855,1
easy_002,Easy,OMP-BranchBoundMRV,4,5,0.001029968,1
easy_002,Easy,OMP-BranchBoundMRV,8,1,0.001038074,1
easy_002,Easy,OMP-BranchBoundMRV,8,2,0.001024008,1
easy_002,Easy,OMP-BranchBoundMRV,8,3,0.001048088,1
easy_002,Easy,OMP-BranchBoundMRV,8,4,0.004198790,1
easy_002,Easy,OMP-BranchBoundMRV,8,5,0.001025915,1
easy_002,Easy,OMP-BranchBoundMRV,16,1,0.023313999,1
easy_002,Easy,OMP-BranchBoundMRV,16,2,0.026751041,1
easy_002,Easy,OMP-BranchBoundMRV,16,3,0.011808872,1
easy_002,Easy,OMP-BranchBoundMRV,16,4,0.017674923,1
easy_002,Easy,OMP-BranchBoundMRV,16,5,0.010787964,1
easy_003,Easy,Serial,1,1,0.014911875,1
easy_003,Easy,Serial,1,2,0.014215458,1
easy_003,Easy,Serial,1,3,0.014072250,1
easy_003,Easy,Serial,1,4,0.013537417,1
easy_003,Easy,Serial,1,5,0.013324750,1
easy_003,Easy,Serial-MRV,1,1,0.001054625,1
easy_003,Easy,Serial-MRV,1,2,0.001058208,1
easy_003,Easy,Serial-MRV,1,3,0.001199042,1
easy_003,Easy,Serial-MRV,1,4,0.001033000,1
easy_003,Easy,Serial-MRV,1,5,0.001099041,1
easy_003,Easy,BranchBound,1,1,0.012110125,1
easy_003,Easy,BranchBound,1,2,0.012128667,1
easy_003,Easy,BranchBound,1,3,0.012376125,1
easy_003,Easy,BranchBound,1,4,0.012383584,1
easy_003,Easy,BranchBound,1,5,0.012407375,1
easy_003,Easy,BranchBoundMRV,1,1,0.001641375,1
easy_003,Easy,BranchBoundMRV,1,2,0.001598750,1
easy_003,Easy,BranchBoundMRV,1,3,0.001504583,1
easy_003,Easy,BranchBoundMRV,1,4,0.001502791,1
easy_003,Easy,BranchBoundMRV,1,5,0.001541583,1
easy_003,Easy,OpenMP,4,1,0.001260996,1
easy_003,Easy,OpenMP,4,2,0.001230955,1
easy_003,Easy,OpenMP,4,3,0.001245022,1
